Name,Slug,Description,Address,City,State,Zip,Phone,Website URL,Google Maps URL,Photo URL,Hours,Specialties,Credentials,Services,Firm Type,Minimum Investment,Fee Structure,Fiduciary,SEC Registered,Rating,Review Count,Status,Date Added,Latitude,Longitude,Year Established,Languages
Northwestern Mutual,northwestern-mutual-miami-fl,"Northwestern Mutual is an insurance-based firm in Miami, Florida. Services include Financial Planning and Investment Management. The firm specializes in Estate Planning. Appointments are recommended. The office has a wheelchair-accessible entrance. The office is open five days a week. It holds a 5-star rating from 4 Google reviews.",100 SE 2nd St #4000,Miami,Florida,33131,(305) 639-8602,http://downtownmiami.nm.com/,"https://www.google.com/maps/place/Northwestern+Mutual/@25.772162599999998,-80.1914008,14z/data=!4m8!1m2!2m1!1sNorthwestern+Mutual!3m4!1s0x88d9b427680ec993:0xbbd848b2c2d4635b!8m2!3d25.772162599999998!4d-80.1914008",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SsWh5j7FhWg5lEgfR-c2NA&cb_client=search.gws-prod.gps&w=800&h=500&yaw=52.95051&pitch=0&thumbfov=100,"Monday: 8AM-5AM, Tuesday: 8AM-5AM, Wednesday: 8AM-5AM, Thursday: 8AM-5AM, Friday: 8AM-5AM, Saturday: Closed, Sunday: Closed","Estate Planning,Investment Management",,"Financial Planning,Investment Management",Insurance-Based,,,,,5.0,4,Active,3/21/2026,25.7721626,-80.1914008,,English
"Joseph M. Garrel, Financial Adviser - Garrel Miani Financial Group",joseph-m-garrel-financial-adviser-garrel-miani-financial-group-hallandale-beach-fl,"Garrel Miani Financial Group, founded 21 years ago and now operating in Hallandale Beach, Key West, and New York, provides financial planning and investment management with specialties in retirement planning and estate planning. Led by principal Joseph Garrel, the firm serves young professionals, families, business owners, pre-retirees, retirees, and foreign nationals, with particular expertise in small-business financial strategies. The team includes specialists in Latin American client relations, client services, and paraplanning, and works in collaboration with tax, legal, and accounting professionals to develop personalized financial strategies.",601 N Federal Hwy Suite 301,Hallandale Beach,Florida,33009,(305) 296-1979,https://www.josephgarrel.com/%3Fcmpid%3Dofll_fwll_wlgb_google_0_0_0_0_0_0_fwloc_0_0095139_A28_0,"https://www.google.com/maps/place/Joseph+M.+Garrel%2C+Financial+Adviser+-+Garrel+Miani+Financial+Group/@25.992794399999998,-80.1433381,14z/data=!4m8!1m2!2m1!1sJoseph+M.+Garrel%2C+Financial+Adviser+-+Garrel+Miani+Financial+Group!3m4!1s0x88d9b7b3d779bb03:0x510b1e60f0ced5a9!8m2!3d25.992794399999998!4d-80.1433381",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DtYpi1Q55U3kBtoT5ye0xw&cb_client=search.gws-prod.gps&w=800&h=500&yaw=151.1154&pitch=0&thumbfov=100,"Monday: 9AM-6:30PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: Closed, Sunday: Closed","Investment Management,Retirement Planning",,"Financial Planning,Investment Management",,,,,,,,Active,3/21/2026,25.9927944,-80.1433381,,English
Team Hewins,team-hewins-miami-fl,"Team Hewins offers financial planning and investment management with a specialty in estate planning, operating on a fee-only basis from offices in Miami and Boca Raton, Florida, as well as the Bay Area. The firm emphasizes coordinated planning that integrates clients' existing professional relationships, including tax professionals and attorneys, and structures its engagement around understanding each client's specific financial situation and goals.",20200 W Dixie Hwy Ste 1009,Miami,Florida,33180,(305) 358-5941,https://teamhewins.com/,"https://www.google.com/maps/place/Team+Hewins/@25.963217399999998,-80.1482832,14z/data=!4m8!1m2!2m1!1sTeam+Hewins!3m4!1s0x88d9b7d68b1f3921:0x197ce78c740f109d!8m2!3d25.963217399999998!4d-80.1482832",https://lh3.googleusercontent.com/gps-cs-s/AHVAweqqP9TlsB5m-u4H9VhrgjpQZDwpaGNhGlHczKXk7NvSQ8F4ssJqN0T5WAhCTckuRSygSnmKrdePs_EJ5YilAVYZvL_3xErsT-Fut3WjNm6cFHHh4J6qNFHu798uGNYQfOHa4MZL=w800-h500-k-no,"Monday: 8AM-5PM, Tuesday: 8AM-5PM, Wednesday: 8AM-5PM, Thursday: 8AM-5PM, Friday: 8AM-4PM, Saturday: Closed, Sunday: Closed",Estate Planning,,"Financial Planning,Investment Management",,,Fee-Only,,,5.0,14,Active,3/21/2026,25.9632174,-80.1482832,,English
Gary Curry - Raymond James,gary-curry-raymond-james-hallandale-beach-fl,"Gary Curry - Raymond James is an investment advisory firm in Hallandale Beach, Florida. Services include Financial Planning and Investment Management. The firm specializes in Retirement Planning. The office has a wheelchair-accessible entrance.",1010 S Federal Hwy Suite 2002,Hallandale Beach,Florida,33009,(305) 466-4655,https://www.raymondjames.com/garycurry,"https://www.google.com/maps/place/Gary+Curry+-+Raymond+James/@25.9744758,-80.1427429,14z/data=!4m8!1m2!2m1!1sGary+Curry+-+Raymond+James!3m4!1s0x88d9adcfd7600f6d:0x45052ac825b6d9c2!8m2!3d25.9744758!4d-80.1427429",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZvE1i5ADf_gCA26sUwKhag&cb_client=search.gws-prod.gps&w=800&h=500&yaw=284.1833&pitch=0&thumbfov=100,,Retirement Planning,,"Financial Planning,Investment Management",,,,,,,,Active,3/21/2026,25.9744758,-80.1427429,,English
Behar-Nagel Group of Raymond James,behar-nagel-group-of-raymond-james-hallandale-beach-fl,"Behar-Nagel Group of Raymond James is an investment advisory firm in Hallandale Beach, Florida. Services include Financial Planning and Investment Management. The firm specializes in Retirement Planning. The office has a wheelchair-accessible entrance.",1010 S Federal Hwy Ste 407,Hallandale Beach,Florida,33009,(305) 682-2423,https://www.raymondjames.com/beharnagelgroup,"https://www.google.com/maps/place/Behar-Nagel+Group+of+Raymond+James/@25.9746773,-80.1426401,14z/data=!4m8!1m2!2m1!1sBehar-Nagel+Group+of+Raymond+James!3m4!1s0x88d9adac168b3271:0xaf3744d88c0d88d0!8m2!3d25.9746773!4d-80.1426401",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yjp4zHW9nlrWGfwbNxSDhQ&cb_client=search.gws-prod.gps&w=800&h=500&yaw=290.73822&pitch=0&thumbfov=100,,Retirement Planning,,"Financial Planning,Investment Management",,,,,,,,Active,3/21/2026,25.9746773,-80.1426401,,English
Jesi Jarosz Financial Advisor - Northwestern Mutual,jesi-jarosz-financial-advisor-northwestern-mutual-fort-myers-fl,"Jesi Jarosz Financial Advisor - Northwestern Mutual is an insurance-based firm in Fort Myers, Florida. Services include Financial Planning and Investment Management. The firm specializes in Retirement Planning. Service options include onsite meetings and online appointment booking. Appointments are required. The office has a wheelchair-accessible entrance. The office is open seven days a week, including weekends. It holds a 5-star rating from 12 Google reviews.",10070 Daniels Interstate Ct #230,Fort Myers,Florida,33913,(239) 533-9880,https://jesijarosz.nm.com/,"https://www.google.com/maps/place/Jesi+Jarosz+Financial+Advisor+-+Northwestern+Mutual/@26.545970999999998,-81.7922742,14z/data=!4m8!1m2!2m1!1sJesi+Jarosz+Financial+Advisor+-+Northwestern+Mutual!3m4!1s0x88db158dceb7ee19:0x425004d117a51b71!8m2!3d26.545970999999998!4d-81.7922742",https://lh3.googleusercontent.com/gps-cs-s/AHVAweoUW3gmINi8G9btwjt8hx_WR-mO3VfY5W81gAAjceJtWj6BbT1OP5hAI5Efg-5yFAkZUsdynw5SDaHKERhqZS_9hq5LuOJ3YaBOhEcsqkIXldmntS-40gtQjuWAO1tXWg-fknn2srSF4vz3=w800-h500-k-no,"Monday: 7AM-8PM, Tuesday: 7AM-8PM, Wednesday: 7AM-8PM, Thursday: 7AM-8PM, Friday: 7AM-8PM, Saturday: 9AM-6PM, Sunday: 10AM-6PM","Retirement Planning,Investment Management",,"Financial Planning,Investment Management",Insurance-Based,,,,,5.0,12,Active,3/21/2026,26.5459710,-81.7922742,,English
Osaic Wealth Inc.,osaic-wealth-inc-fort-myers-fl,"Osaic Wealth Inc., based in Fort Myers, Florida, offers retirement planning and investment management services through a combination of advisory programs, brokerage services, and insurance planning. The firm provides access to institutional portfolio managers, financial planning, wealth management consulting, and a range of retirement vehicles including traditional and Roth IRAs, 401(k) plans, and 529 college savings accounts. Clients may select from non-proprietary mutual funds, fixed income securities, variable annuities, and life insurance products, with the firm emphasizing customized planning based on individual circumstances and risk tolerance rather than proprietary offerings.",12633 Lonsdale Terrace,Fort Myers,Florida,33913,(833) 427-2796,https://www.kenharasym.com/,"https://www.google.com/maps/place/Osaic+Wealth+Inc./@26.560012999999998,-81.7628555,14z/data=!4m8!1m2!2m1!1sOsaic+Wealth+Inc.!3m4!1s0x88db6d2a2574e327:0x2486e9ea3a88927e!8m2!3d26.560012999999998!4d-81.7628555",https://lh3.googleusercontent.com/gps-cs-s/AHVAweorV6gP__8i58NrX7R7tlfTqRn_Qxn3kB7zu4X-TW073v5RAML-1svbmbUZQ9QqkIcmZ4eRYz-cBuzk8D3Bs50teK0AuZJ5ek1wPa9gDCcI7FGNxQDjrzA86C3u9R4vJLnUs57e=w800-h500-k-no,"Monday: 10AM-4PM, Tuesday: 10AM-4PM, Wednesday: 10AM-4PM, Thursday: 10AM-4PM, Friday: 10AM-4PM, Saturday: Closed, Sunday: Closed","Retirement Planning,Investment Management",,,,,,,,5.0,1,Active,3/21/2026,26.5600130,-81.7628555,,English
Merrill Lynch Wealth Management,merrill-lynch-wealth-management-punta-gorda-fl,"Merrill Lynch Wealth Management is a wirehouse firm in Punta Gorda, Florida. Services include Financial Planning and Investment Management. The firm specializes in Wealth Management. The office has a wheelchair-accessible entrance. The office is open five days a week. It holds a 3.2-star rating from 10 Google reviews.",1190 W Marion Ave Suite 1,Punta Gorda,Florida,33950,(941) 637-4300,https://advisor.ml.com/sites/fl/punta-gordafl,"https://www.google.com/maps/place/Merrill+Lynch+Wealth+Management/@26.9270401,-82.0621109,14z/data=!4m8!1m2!2m1!1sMerrill+Lynch+Wealth+Management!3m4!1s0x88db579552cfadc3:0x87fa738ed6d3b0d8!8m2!3d26.9270401!4d-82.0621109",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qh1jlcCyARJFsTg43O4ApA&cb_client=search.gws-prod.gps&w=800&h=500&yaw=341.89893&pitch=0&thumbfov=100,"Monday: 9AM-4:30PM, Tuesday: 9AM-4:30PM, Wednesday: 9AM-4:30PM, Thursday: 9AM-4:30PM, Friday: 9AM-4:30PM, Saturday: Closed, Sunday: Closed","Investment Management,Wealth Management",,"Financial Planning,Investment Management",Wirehouse,,,,,3.2,10,Active,3/21/2026,26.9270401,-82.0621109,,English
"Holland Capital Management, LLC",holland-capital-management-llc-charlotte-nc,"Holland Capital Management is a Charlotte-based wealth management firm led by M. Chad Holland, a CFA and CFP®. The firm provides financial planning, investment management, estate planning, and retirement planning services, with additional offerings in trust advisory, life insurance, and lending options. Holland Capital Management operates under a fiduciary standard and serves high-net-worth individuals and entrepreneurs seeking coordinated planning that integrates tax and estate strategies.",15720 Brixham Hill Ave #300,Charlotte,North Carolina,28277,(877) 733-9435,https://www.hollandcapitalgroup.com/financial-advisor-charlotte-nc/,"https://www.google.com/maps/place/Holland+Capital+Management%2C+LLC/@35.0592569,-80.85215029999999,14z/data=!4m8!1m2!2m1!1sHolland+Capital+Management%2C+LLC!3m4!1s0x88569dbf3f223881:0xfa52a30ac7819b24!8m2!3d35.0592569!4d-80.85215029999999",https://lh3.googleusercontent.com/gps-cs-s/AHVAwepdwFt_AZJRvMlvvAcZHsYUlGOlwjRTi6tTw58OxG2GJJusXNxXxYCFu15iZSBEwzq3aQv7NL4Rtp4He18NSdafvf6PNzncCWwxaxag6tyiNdKTH1J1flxMwKKA3kVJp9eP2isH=w800-h500-k-no,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: Closed, Sunday: Closed","Estate Planning,Retirement Planning",,"Financial Planning,Investment Management",,,,checked,,5.0,12,Active,3/21/2026,35.0592569,-80.8521503,,English
Cyndeo Wealth Partners,cyndeo-wealth-partners-st-petersburg-fl,"Cyndeo Wealth Partners is a financial advisory firm based in St. Petersburg, Florida that specializes in retirement planning. The firm's team brings experience across financial and investment disciplines and emphasizes continuity in client relationships.",200 Central Ave 23rd Floor,St. Petersburg,Florida,33701,(727) 472-3700,https://cyndeowp.com/,"https://www.google.com/maps/place/Cyndeo+Wealth+Partners/@27.770982,-82.636258,14z/data=!4m8!1m2!2m1!1sCyndeo+Wealth+Partners!3m4!1s0x88c2e1ebeade0363:0xf810f69e0ef2dde1!8m2!3d27.770982!4d-82.636258",https://lh3.googleusercontent.com/gps-cs-s/AHVAwequfbXb7nJCzaEWxEJ0GlWgGVteKyqyDhAK6sFXaPT599rM37MDsGq6dUEtuTrKV__bKOzgHpTEfwaBCB9NSZPs4NeZAu5ShhwBy_u9tiqnKWEDxHNnS3B-JdZfC0dNcEnm6x4=w800-h500-k-no,"Monday: 8:30AM-5PM, Tuesday: 8:30AM-5PM, Wednesday: 8:30AM-5PM, Thursday: 8:30AM-5PM, Friday: 8:30AM-5PM, Saturday: Closed, Sunday: Closed",Retirement Planning,,,,,,,,,,Active,3/21/2026,27.7709820,-82.6362580,,English
Base Wealth Management: Financial Advisors,base-wealth-management-financial-advisors-lakewood-ranch-fl,"Base Wealth Management is an SEC-registered investment adviser in Lakewood Ranch, Florida, founded in 2022 by Dan DiLascia. The firm provides investment management and wealth planning services on a fee-based, fiduciary basis, with particular focus on pre-retirees addressing withdrawal strategy, tax planning, and retirement income design. The firm serves a diverse clientele including business owners, executives, and professionals navigating major life transitions or workplace benefits optimization.",7301 Merchant Ct,Lakewood Ranch,Florida,34240,(941) 203-6040,https://basewealthmanagement.com/,"https://www.google.com/maps/place/Base+Wealth+Management%3A+Financial+Advisors/@27.384127499999998,-82.4226036,14z/data=!4m8!1m2!2m1!1sBase+Wealth+Management%3A+Financial+Advisors!3m4!1s0x88c339ee23337e55:0x1fa16ed035b91daa!8m2!3d27.384127499999998!4d-82.4226036",https://lh3.googleusercontent.com/gps-cs-s/AHVAwerkpMq7pwsSAS_cF9J22FG75-_iRuKPHfH-yzgAkCA95f4KxoJTHgte4JofspHdhsWcI2QlSkWQ-PGFCn_xrkTyjNAcuf8zzcjVSo3-nFFaGSGmYK75uD_KEV333kl4BWgkkr_jaQ=w800-h500-k-no,Daily: 9AM-5PM,"Investment Management,Wealth Management",,Financial Planning,,,"Fee-Based,Fee-Only",checked,,5.0,,Active,3/21/2026,27.3841275,-82.4226036,,English
